env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu
gpu_04,12,6,14.96,1,3.63,1,1.0,256,0.8314,0.8232,0.8234,0.8234,12,17.11229946524064,6.0,1,256
gpu_04,12,6,14.96,1,3.63,2,2.0,32,0.0777,0.0813,0.0819,0.0813,24,2.13903743315508,4.0,2,32
gpu_04,12,6,14.96,1,3.63,2,2.0,64,0.1389,0.1349,0.1354,0.1354,24,4.27807486631016,4.0,2,64
gpu_04,12,6,14.96,1,3.63,2,2.0,128,0.2412,0.2408,0.2643,0.2412,24,8.55614973262032,4.0,2,128
gpu_04,12,6,14.96,1,3.63,2,2.0,256,0.4562,0.4507,0.4528,0.4528,24,17.11229946524064,4.0,2,256
gpu_04,12,6,14.96,1,3.63,4,4.0,32,0.0662,0.074,0.0636,0.0662,48,2.13903743315508,2.4,4,32
gpu_04,12,6,14.96,1,3.63,4,4.0,64,0.0963,0.0944,0.1163,0.0963,48,4.27807486631016,2.4,4,64
gpu_04,12,6,14.96,1,3.63,4,4.0,128,0.1716,0.2255,0.1942,0.1942,48,8.55614973262032,2.4,4,128
gpu_04,12,6,14.96,1,3.63,4,4.0,256,0.3438,0.3706,0.3148,0.3438,48,17.11229946524064,2.4,4,256
gpu_05,12,8,15.71,1,4.0,0,0.0,32,0.0731,0.0741,0.0717,0.0731,0,2.0369191597708465,12.0,0,32
gpu_05,12,8,15.71,1,4.0,0,0.0,64,0.1283,0.1332,0.1312,0.1312,0,4.073838319541693,12.0,0,64
gpu_05,12,8,15.71,1,4.0,0,0.0,128,0.2406,0.2384,0.2355,0.2384,0,8.147676639083386,12.0,0,128
gpu_05,12,8,15.71,1,4.0,0,0.0,256,0.4588,0.4571,0.456,0.4571,0,16.295353278166772,12.0,0,256
gpu_05,12,8,15.71,1,4.0,1,1.0,32,0.0754,0.0737,0.0776,0.0754,12,2.0369191597708465,6.0,1,32
gpu_05,12,8,15.71,1,4.0,1,1.0,64,0.1374,0.1348,0.133,0.1348,12,4.073838319541693,6.0,1,64
gpu_05,12,8,15.71,1,4.0,1,1.0,128,0.2439,0.2451,0.2471,0.2451,12,8.147676639083386,6.0,1,128
